Geo_FIPS,sovi,rank,state_id
g06001,-2.456299769997135,48.0,g06
g06003,-4.709125302942581,58.0,g06
g06005,0.5359487622603134,20.0,g06
g06007,-0.1346695682310841,26.0,g06
g06009,-3.131540786720486,52.0,g06
g06011,5.3119599199856715,3.0,g06
g06013,-3.2474743705851994,53.0,g06
g06015,2.843015237245953,10.0,g06
g06017,-4.267481392543992,56.0,g06
g06019,1.6987530558352772,16.0,g06
g06021,2.7412350678720907,11.0,g06
g06023,-1.6701281040291913,44.0,g06
g06025,3.8443779253052313,6.0,g06
g06027,-0.6629374329407207,31.0,g06
g06029,2.4407952633013834,12.0,g06
g06031,5.5000117751192565,1.0,g06
g06033,0.8243765446525491,19.0,g06
g06035,4.631619791593421,5.0,g06
g06037,0.21638648611475053,23.0,g06
g06039,3.8315149032211626,7.0,g06
g06041,-1.4792090465256507,42.0,g06
g06043,-0.08858291908495985,25.0,g06
g06045,0.2989202205638194,22.0,g06
g06047,2.393812112078865,13.0,g06
g06049,5.174922574597744,4.0,g06
g06051,-4.295684377480649,57.0,g06
g06053,3.285979268822144,9.0,g06
g06055,1.730016844786073,15.0,g06
g06057,-2.768975456557551,50.0,g06
g06059,-0.7841864633904092,32.0,g06
g06061,-4.0575730191297,55.0,g06
g06063,-0.9346877092998233,34.0,g06
g06065,-1.7800021200448748,45.0,g06
g06067,-2.8995745497950103,51.0,g06
g06069,-0.016249074367922223,24.0,g06
g06071,-2.584778290902844,49.0,g06
g06073,-1.565384594069811,43.0,g06
g06075,5.425293045622173,2.0,g06
g06077,-0.7921731140494132,33.0,g06
g06079,-0.26198915373706466,29.0,g06
g06081,-1.2783931382776696,40.0,g06
g06083,1.9975267009371425,14.0,g06
g06085,-1.248946997744105,39.0,g06
g06087,-0.28041700434274497,30.0,g06
g06089,-1.0750778717097282,36.0,g06
g06091,-1.9082216131892604,47.0,g06
g06093,-0.17318893923146367,27.0,g06
g06095,-3.7113481242895703,54.0,g06
g06097,-1.1325306135280289,37.0,g06
g06099,0.4984147306469779,21.0,g06
g06101,0.8972840503307006,18.0,g06
g06103,1.2396847807135765,17.0,g06
g06105,-1.4052231731142468,41.0,g06
g06107,3.632639877806728,8.0,g06
g06109,-0.20217835691604663,28.0,g06
g06111,-1.2385062903855755,38.0,g06
g06113,-1.8129340155251055,46.0,g06
g06115,-0.9388161847333352,35.0,g06
g13001,1.998499158766293,27.0,g13
g13003,4.206944379338965,10.0,g13
g13005,0.991497731439305,59.0,g13
g13007,3.25409829121556,15.0,g13
g13009,0.030218009540861734,81.0,g13
g13011,-0.28624196795496193,90.0,g13
g13013,-2.435987413110155,130.0,g13
g13015,-3.0441965042581014,140.0,g13
g13017,1.4045388988345344,40.0,g13
g13019,1.3124292058796962,44.0,g13
g13021,-0.8582140869325621,103.0,g13
g13023,-0.5413037169809006,95.0,g13
g13025,-0.48169068864905207,94.0,g13
g13027,2.0356947309076725,26.0,g13
g13029,-4.409649221022681,151.0,g13
g13031,-2.8695611385558393,137.0,g13
g13033,-0.3953111264377091,92.0,g13
g13035,-0.9022223147430766,105.0,g13
g13037,8.482490188534864,1.0,g13
g13039,-4.8516247743295935,156.0,g13
g13043,1.8588750069813327,30.0,g13
g13045,-2.705616431413931,133.0,g13
g13047,-3.663928498521743,146.0,g13
g13049,1.2647899252968458,46.0,g13
g13051,-1.8957913168944704,121.0,g13
g13053,-7.384390305664134,159.0,g13
g13055,0.9865672284475081,60.0,g13
g13057,-3.705435471916282,147.0,g13
g13059,-0.00015307452111246178,83.0,g13
g13061,6.825416441071387,3.0,g13
g13063,-0.8915739133027103,104.0,g13
g13065,0.710294675927476,69.0,g13
g13067,-0.6871737983398911,97.0,g13
g13069,0.8769025292210151,61.0,g13
g13071,2.787465348459383,18.0,g13
g13073,-3.226206435702394,143.0,g13
g13075,-0.15540963112515943,88.0,g13
g13077,-2.978027026689976,138.0,g13
g13079,-3.1408271790486766,141.0,g13
g13081,0.12564387720079068,80.0,g13
g13083,-2.121104335539759,125.0,g13
g13085,-2.3223256691955285,129.0,g13
g13087,0.2966661369803164,76.0,g13
g13089,0.6599086106787142,70.0,g13
g13091,1.1071409998585329,52.0,g13
g13093,3.5464170496978147,13.0,g13
g13095,-1.419018007286039,114.0,g13
g13097,-4.128428694752128,149.0,g13
g13099,1.711377499785805,34.0,g13
g13101,5.336142308205395,6.0,g13
g13103,-5.38676815580935,157.0,g13
g13105,0.2418464892115354,78.0,g13
g13107,1.0119427515229615,58.0,g13
g13109,1.253480336164067,47.0,g13
g13111,-0.7823399829103475,99.0,g13
g13113,-2.4499405723992544,131.0,g13
g13115,-0.24355923705696264,89.0,g13
g13117,-1.9030739685477802,122.0,g13
g13119,0.8558225380893322,62.0,g13
g13121,1.2027116551247015,49.0,g13
g13123,1.8431016331277599,32.0,g13
g13125,2.6369262508493128,21.0,g13
g13127,-0.9369890051749843,107.0,g13
g13129,-0.09409012456127358,86.0,g13
g13131,0.7272012581964487,68.0,g13
g13133,2.6582671197445724,20.0,g13
g13135,0.7895138490166513,66.0,g13
g13137,0.2795398252732928,77.0,g13
g13139,1.3696527702156047,42.0,g13
g13141,4.51644751997556,9.0,g13
g13143,-1.054085184611401,110.0,g13
g13145,-3.287586796303724,144.0,g13
g13147,1.042741564005758,56.0,g13
g13149,-0.9389795697304174,108.0,g13
g13151,-4.493352733403144,153.0,g13
g13153,-2.789679826160126,136.0,g13
g13155,1.2430761094559246,48.0,g13
g13157,-1.94231093593045,123.0,g13
g13159,-2.470265767927896,132.0,g13
g13161,0.8261067787356664,65.0,g13
g13163,1.100731733940972,53.0,g13
g13165,1.7947735292494675,33.0,g13
g13167,2.9144001332434444,17.0,g13
g13169,-2.769354629045548,135.0,g13
g13171,-1.7187577772139242,117.0,g13
g13173,-0.8538885208559637,101.0,g13
g13175,-0.12227518387085312,87.0,g13
g13177,-3.8535158492630393,148.0,g13
g13179,-4.433820533813303,152.0,g13
g13181,0.8459705377577442,64.0,g13
g13183,-4.340930353573931,150.0,g13
g13185,-3.029867512719064,139.0,g13
g13187,-3.5400499668198577,145.0,g13
g13189,-0.8119917679758676,100.0,g13
g13191,-1.84018624346981,120.0,g13
g13193,3.264443112225785,14.0,g13
g13195,-1.503519037407626,116.0,g13
g13197,3.2043838463548946,16.0,g13
g13199,-0.936910504900353,106.0,g13
g13201,2.177563942157374,23.0,g13
g13205,2.123420011787601,25.0,g13
g13207,-1.5032640687044005,115.0,g13
g13209,1.3776497608853893,41.0,g13
g13211,-1.1169474442805853,111.0,g13
g13213,-0.31693777073698803,91.0,g13
g13215,-1.7194949847484424,118.0,g13
g13217,-4.8104675062964235,155.0,g13
g13219,-2.163073551821215,126.0,g13
g13221,-0.7792764291776849,98.0,g13
g13223,-5.698626638251087,158.0,g13
g13225,0.020111629639818718,82.0,g13
g13227,-1.724605714573603,119.0,g13
g13229,0.4832513626048532,72.0,g13
g13231,-4.760040483205101,154.0,g13
g13233,0.44072335431581655,73.0,g13
g13235,1.0440899506117365,55.0,g13
g13237,1.0202044767864151,57.0,g13
g13239,0.6445260126635939,71.0,g13
g13241,2.471126716843883,22.0,g13
